aX,aY,aZ,gX,gY,gZ
0.824,-0.276,-0.665,-3.479,-1.221,-6.470
0.828,-0.293,-0.691,-3.235,-1.709,-4.822
0.833,-0.310,-0.707,-2.991,-2.686,-2.808
0.833,-0.337,-0.729,-2.686,-3.418,-1.343
0.833,-0.334,-0.744,-1.648,-4.089,1.282
0.829,-0.325,-0.755,0.305,-4.639,3.784
0.823,-0.301,-0.777,2.625,-4.517,5.798
0.819,-0.298,-0.804,5.310,-4.822,7.019
0.814,-0.294,-0.817,7.568,-6.287,7.507
0.812,-0.281,-0.797,10.132,-8.911,8.667
0.802,-0.288,-0.787,9.094,-10.864,9.827
0.806,-0.204,-0.783,9.216,-12.756,12.390
0.802,-0.263,-0.774,11.719,-14.099,10.376
0.799,-0.214,-0.775,11.902,-16.418,12.512
0.798,-0.224,-0.734,11.292,-18.799,13.672
0.806,-0.183,-0.710,11.841,-20.020,15.564
0.794,-0.138,-0.704,13.611,-19.836,15.747
0.791,-0.121,-0.705,14.832,-20.569,15.625
0.811,-0.138,-0.629,13.916,-23.071,14.832
0.825,-0.097,-0.558,13.062,-24.841,15.198
0.829,-0.053,-0.529,11.780,-24.536,15.015
0.831,-0.067,-0.537,12.451,-23.376,13.184
0.829,-0.101,-0.506,13.123,-23.804,10.864
0.843,-0.091,-0.465,15.564,-23.804,10.864
0.844,-0.134,-0.475,16.479,-21.790,9.644
0.847,-0.087,-0.492,17.761,-20.020,11.292
0.849,-0.122,-0.523,19.409,-18.860,10.193
0.851,-0.133,-0.517,22.095,-19.165,9.460
0.859,-0.109,-0.507,23.499,-19.226,10.193
0.860,-0.093,-0.521,22.644,-18.616,9.949
0.858,-0.091,-0.538,20.691,-18.127,9.155
0.862,-0.085,-0.535,18.372,-18.433,8.423
0.864,-0.140,-0.565,14.832,-18.433,6.836
0.864,-0.177,-0.596,10.925,-19.409,6.653
0.874,-0.198,-0.555,11.841,-21.301,7.812
0.879,-0.211,-0.573,13.062,-21.790,8.850
0.875,-0.193,-0.657,14.587,-19.958,10.620
0.882,-0.278,-0.692,19.958,-20.386,10.254
0.866,-0.287,-0.800,27.222,-18.860,11.047
0.862,-0.255,-0.908,36.255,-17.517,14.526
0.827,-0.303,-0.993,46.692,-18.127,14.221
0.801,-0.226,-1.095,53.833,-19.531,17.944
0.772,-0.241,-1.172,56.946,-24.353,18.616
0.745,-0.227,-1.167,52.979,-32.532,19.714
0.717,-0.202,-1.165,45.898,-41.504,22.339
0.699,-0.165,-1.115,37.903,-51.208,23.621
0.679,-0.214,-1.076,31.311,-61.646,23.560
0.684,-0.197,-0.996,27.588,-71.655,25.085
0.709,-0.185,-0.764,27.893,-83.191,27.161
0.743,-0.146,-0.664,25.879,-87.097,28.931
0.758,-0.076,-0.619,24.353,-87.646,30.640
0.777,-0.041,-0.589,26.306,-88.501,30.151
0.793,-0.010,-0.508,30.518,-90.210,28.137
0.803,0.029,-0.521,33.997,-88.257,25.940
0.815,0.064,-0.530,36.621,-86.304,22.461
0.817,0.053,-0.619,37.903,-85.510,17.883
0.806,0.038,-0.687,39.917,-87.708,13.550
0.797,-0.015,-0.702,42.847,-94.116,9.399
0.795,-0.060,-0.670,45.715,-101.013,6.836
0.802,-0.125,-0.586,47.791,-107.605,5.920
0.803,-0.138,-0.534,47.546,-111.145,7.385
0.788,-0.062,-0.584,46.753,-111.206,11.047
