aX,aY,aZ,gX,gY,gZ
0.114,0.797,-0.582,-12.756,4.822,6.470
0.115,0.791,-0.567,-14.160,4.517,6.470
0.114,0.792,-0.574,-14.526,5.188,6.836
0.120,0.791,-0.600,-14.099,5.798,6.836
0.123,0.785,-0.614,-14.404,5.005,7.141
0.123,0.787,-0.625,-15.198,3.601,8.179
0.119,0.818,-0.640,-16.846,2.319,10.071
0.120,0.831,-0.639,-16.113,0.183,10.925
0.116,0.809,-0.622,-14.648,-1.770,9.949
0.116,0.787,-0.601,-14.160,-4.028,9.338
0.120,0.762,-0.573,-15.991,-6.348,9.521
0.118,0.728,-0.551,-19.226,-7.751,9.766
0.121,0.727,-0.533,-22.278,-8.057,11.658
0.127,0.755,-0.496,-25.452,-7.874,13.794
0.126,0.770,-0.456,-27.710,-5.981,14.404
0.128,0.782,-0.448,-28.076,-0.916,13.672
0.125,0.783,-0.458,-26.611,6.042,12.756
-0.519,1.510,-1.230,31.128,48.279,11.414
-0.568,1.782,-1.391,39.124,48.157,7.019
-0.583,1.980,-1.490,48.035,42.786,-6.958
-0.563,2.000,-1.541,56.763,33.691,-30.029
-0.534,1.851,-1.551,61.401,21.484,-55.359
-0.526,1.675,-1.566,59.509,7.629,-75.439
-0.540,1.525,-1.563,53.223,-8.301,-87.952
-0.562,1.405,-1.561,42.786,-26.855,-95.337
-0.582,1.359,-1.552,31.860,-46.875,-98.145
-0.597,1.386,-1.467,21.973,-69.275,-99.060
-0.607,1.451,-1.332,13.611,-89.844,-101.746
-0.618,1.474,-1.177,9.827,-105.408,-109.253
-0.611,1.481,-1.041,12.634,-116.028,-119.934
-0.583,1.494,-0.913,16.296,-122.131,-131.470
-0.551,1.483,-0.787,20.020,-125.183,-145.874
-0.519,1.437,-0.703,25.146,-124.878,-163.269
-0.495,1.348,-0.658,28.198,-122.742,-182.739
-0.478,1.190,-0.618,28.870,-122.070,-203.430
-0.457,1.000,-0.574,27.283,-123.657,-222.107
-0.455,0.824,-0.516,24.597,-126.770,-236.084
-0.449,0.684,-0.422,20.142,-131.165,-245.605
-0.449,0.585,-0.356,20.386,-133.057,-251.892
-0.475,0.547,-0.372,23.621,-131.897,-255.737
-0.500,0.592,-0.336,26.245,-132.874,-259.399
-0.511,0.660,-0.286,31.677,-134.155,-268.066
-0.516,0.596,-0.181,33.813,-136.841,-284.119
-0.517,0.444,-0.068,31.921,-138.489,-302.856
-0.518,0.301,0.036,26.123,-138.611,-317.322
-0.518,0.178,0.088,17.273,-136.719,-327.515
-0.536,0.050,0.083,8.362,-133.606,-336.182
-0.544,-0.079,0.071,4.211,-131.897,-341.980
-0.525,-0.231,0.115,1.648,-134.094,-344.971
-0.505,-0.433,0.178,-2.014,-136.902,-345.520
-0.453,-0.584,0.157,-9.766,-134.460,-338.379
-0.399,-0.572,0.096,-18.250,-131.470,-322.876
-0.373,-0.512,0.165,-18.188,-134.521,-307.007
-0.331,-0.376,0.273,-14.709,-135.864,-294.250
-0.314,-0.164,0.280,-6.897,-129.639,-289.429
-0.293,-0.097,0.285,-1.648,-123.047,-301.208
-0.320,-0.220,0.343,6.348,-120.422,-323.181
-0.333,-0.263,0.323,21.423,-112.000,-336.670
-0.346,-0.268,0.204,27.039,-100.403,-346.863
-0.333,-0.338,0.163,18.982,-95.154,-359.009
-0.291,-0.607,0.228,3.784,-98.511,-372.620
-0.183,-1.008,0.262,-5.737,-99.670,-380.737
-0.069,-1.389,0.237,-12.878,-96.985,-373.108
0.004,-1.563,0.155,-22.583,-93.384,-345.215
0.067,-1.529,0.016,-26.917,-91.187,-305.725
0.124,-1.398,-0.006,-24.963,-97.534,-268.433
0.152,-1.272,0.116,-20.386,-108.704,-240.967
0.176,-1.192,0.225,-13.489,-112.000,-222.351
0.179,-1.168,0.228,-2.808,-106.567,-209.534
0.194,-1.161,0.137,4.272,-99.121,-198.853
0.204,-1.096,0.085,-6.653,-96.375,-187.073
0.230,-1.045,0.076,-12.573,-100.281,-178.589
0.239,-1.074,0.229,-15.381,-110.474,-174.377
0.250,-1.122,0.440,-20.203,-117.859,-170.288
0.275,-1.176,0.587,-22.583,-115.234,-164.062
0.269,-1.289,0.610,-20.569,-105.042,-158.203
0.249,-1.381,0.554,-19.165,-92.590,-149.597
0.236,-1.375,0.516,-18.982,-84.595,-136.536
0.241,-1.392,0.505,-13.245,-80.811,-126.099
0.249,-1.468,0.515,-6.226,-78.247,-120.056
0.268,-1.557,0.551,-3.418,-75.500,-112.732
0.308,-1.656,0.603,-2.014,-72.144,-101.929
0.356,-1.767,0.694,-1.038,-68.359,-88.501
0.300,-1.828,0.818,12.817,-61.890,-71.594
0.324,-1.840,0.657,36.255,-51.697,-48.950
0.269,-1.611,0.849,-34.607,-46.570,-22.461
0.282,-1.565,0.859,-47.485,-37.659,-11.536
0.287,-1.693,0.804,0.488,-31.616,-8.850
0.310,-1.618,0.936,-3.296,-30.396,4.883
0.356,-1.480,0.969,-7.996,-21.301,19.714
0.350,-1.531,0.895,-5.066,-7.507,23.560
0.361,-1.629,0.782,-6.592,2.197,27.527
0.388,-1.632,0.692,-11.047,7.080,38.818
0.390,-1.593,0.656,-14.343,8.118,51.941
0.380,-1.523,0.671,-17.517,9.766,64.453
0.388,-1.468,0.644,-15.198,14.343,73.364
0.367,-1.466,0.611,-12.024,18.799,78.674
0.360,-1.455,0.654,-11.414,20.325,84.717
0.376,-1.430,0.715,-9.888,21.484,90.942
0.375,-1.472,0.782,-11.902,24.719,95.703
0.389,-1.554,0.798,-14.893,30.029,100.403
0.384,-1.530,0.710,-23.376,38.391,110.657
0.347,-1.420,0.616,-33.325,44.312,123.657
0.351,-1.304,0.606,-41.931,45.044,133.728
0.339,-1.240,0.620,-46.997,46.082,138.794
0.342,-1.220,0.600,-46.509,50.476,141.052
0.368,-1.260,0.585,-49.011,55.054,143.616
0.376,-1.391,0.587,-55.603,58.472,146.729
0.391,-1.463,0.528,-60.669,64.148,155.884
0.400,-1.390,0.473,-66.772,68.604,172.485
0.398,-1.187,0.513,-69.580,69.153,191.101
0.413,-0.929,0.614,-69.153,70.618,205.139
0.450,-0.712,0.656,-65.247,78.003,209.351
0.498,-0.661,0.638,-58.594,87.708,203.491
0.515,-0.683,0.661,-59.753,94.971,196.533
0.534,-0.729,0.693,-66.589,102.539,193.481
0.498,-0.815,0.608,-75.378,114.746,191.956
